Id,Predicted
114982,421528.60599162383
95653,627529.0584028289
40303,397558.23053382384
109506,397546.3652896546
100149,556589.2881657332
7610,405343.26985911233
61101,379854.167891996
68167,544325.6129346178
65701,444961.18799041864
56039,318863.7511848458
81919,526122.5741582504
99768,513740.8568270984
124053,669960.3084052885
3942,422030.3401146424
118904,614012.2473277072
30060,459366.0622940422
185729,695916.428489795
46357,690414.6063013263
20662,517515.32956804754
102274,536771.5251559746
53369,331591.5011288198
9719,413239.38609589264
20145,328009.6991112032
159051,618762.7074082699
31481,351862.94475709694
142247,512758.7327286494
29119,395578.7909272043
151448,526158.371191272
60594,347538.98526080605
83400,560950.0182474307
40168,363143.1103876801
52407,453035.4706464899
127232,545606.950271219
131188,525721.5043934532
952,251742.54071214935
166230,506321.349762565
144844,517123.9742688178
33207,363966.4969614325
28355,750088.1355608255
179918,726234.463077649
162451,645083.9820296243
19390,315747.6710779774
114861,575805.1318885554
132259,511849.4549266645
180033,808155.563385956
97052,584211.1702407948
94224,443904.5312724258
32295,483723.1132176402
171908,626949.2408338776
80236,515133.3778247768
156193,510829.14370069094
54494,352274.15585353924
174530,679724.0092176739
143835,474660.2307033399
26275,347276.97417072253
61627,679551.2810400072
49813,317447.984561305
3466,664245.9648874351
117691,590112.6523155398
132738,595891.6224184153
114211,617528.7998453146
116741,615081.6545179668
39246,399133.4575812509
150011,470262.67647106247
182319,689037.3159688213
32441,339060.4802607489
18842,380109.4395363047
99428,476069.4252565848
96435,468224.72879141197
134803,454285.6592201926
171636,635450.5573097826
115944,622672.0322334054
149001,625651.8197260131
19084,403571.0588239012
178128,791348.1688973075
74818,446164.1423379383
49603,359412.52734649414
86262,707496.9927995778
14520,322752.2859564759
57209,751045.4592189188
148575,619923.8643637872
33,176785.21468414832
180401,701915.7657207167
87114,603714.0469729728
16450,399604.7492656093
28848,381335.8378390493
11519,340441.49314995715
7202,367109.8828628692
2843,300905.5254626726
156073,567696.5679948926
132217,571063.1195472893
140349,607530.1657511708
34614,379431.5028068265
135594,524423.4453921034
170933,730786.6565116881
62586,513126.57389492076
145868,519274.5057223118
15155,270901.63835946284
61290,376003.3578319317
184569,683270.2005938175
169996,441312.2420103247
7026,454805.83275536494
128356,517515.33163252147
134501,535573.931316847
163406,605875.0489029614
56796,513827.0147152445
174870,771401.5883441558
142554,688277.3468682007
59547,321262.11905031046
143113,572824.9082542271
154091,619448.1348356688
61191,546589.3714298634
135899,528752.5464459094
172405,647514.4744399088
184121,679280.9885302624
1063,366609.53785878886
6348,365699.61262197606
79995,691984.4229916707
50573,425487.338189268
79894,564474.7060230565
113553,491582.3503495208
31931,454499.59218502836
86645,476013.5387394503
123780,466828.04808028135
142940,518696.0014497144
138987,605447.9608951048
41502,295265.7774968492
100104,658247.3668216304
83570,465410.97365366574
181648,749500.8302780795
68406,489678.38781531155
114567,473775.9605119615
5470,485258.56582510564
176926,748668.2717115907
173013,583409.8585190503
110219,486504.1730620074
52178,300875.5563345193
120569,618251.3325845432
132710,615347.1929299906
10478,403979.5077898265
100309,799315.0547646298
76446,477630.06445261044
140674,439666.688906115
122786,648407.2969433824
66214,440307.0186607903
120240,433041.6771432264
113802,440358.4370093588
169747,653837.9721021354
45819,403055.04110914376
36170,368623.8664468564
84049,541819.758493429
104675,421098.6861241767
66165,733603.3256512545
92499,442958.06719889725
107783,661227.0404853099
148441,546543.8014173517
12344,360038.12169695366
93256,573740.4509232831
48139,575106.4723672676
101908,498716.91036918666
134084,518813.5903693768
17216,350744.7038233052
185201,644706.7806182033
185016,672765.4556526467
25318,368870.53611000953
65253,425566.95671345294
57696,313426.6935588056
30939,402953.9306658497
128338,515598.21786521655
104156,509922.6276681386
41455,418086.8448198228
126390,515165.1769447988
165803,642010.0449026637
108253,410832.71645845147
15221,257416.055631693
129322,442209.15305845486
86142,634799.700976572
150957,600975.1889301892
97028,505807.55104701547
3219,329497.03191311006
172533,585330.8303548326
147313,541014.1287866402
168865,574991.2825295557
138278,576913.8862951878
82280,428440.1367379227
4380,409254.3963294588
4327,625272.0229378673
109861,543057.357291732
45273,544814.432801133
102888,688599.8221450979
77664,544547.1648996174
58355,363817.25702487957
91308,355928.58309633937
169692,581545.3573334576
154931,570368.4969031122
123897,610978.5294402866
43550,542215.8853118131
94084,522847.51326545374
63629,435715.0741057759
163153,512911.46697233524
165076,646830.4317927118
55701,393977.2906006058
19310,358149.42415155657
18205,310737.588663463
59608,651772.163577849
60785,560020.4800945758
51513,480583.06049619336
145397,589229.8593636383
101693,460128.27002129285
164688,555771.8641835181
82863,401796.15916202916
1754,357492.0365135395
5376,462251.0118716783
130074,539971.6251122756
102843,645180.4124755315
29760,396450.8114415766
130642,466413.1473786123
31347,414825.9338663961
24205,365190.2057531141
165100,582969.6926329313
81514,558238.198898084
116369,611995.4960344271
84639,491463.78778551705
97982,538736.025207032
91083,778949.4083066015
149132,631932.7482791194
41826,455636.21594660915
52033,328992.38844966237
21665,341078.6207045857
62257,390362.66217536665
10102,355127.77442718437
23904,419262.18670569593
179693,775317.3379512937
144227,694714.3108461131
120211,481161.309070223
173440,523365.52262443025
46749,436530.40835753595
96942,671241.1475907387
183177,598827.6848904002
35398,341164.64449755615
30263,381853.37175371544
48194,351471.41994404513
129424,595453.6431377893
110123,536385.0652837842
60370,367777.2420335221
33837,425682.1121209939
108049,577823.5443098005
78656,543869.4971896121
7172,388355.42101653107
66304,468938.5766387023
78058,466060.9751497656
176324,757243.6694704485
165880,650934.1217687745
93902,479494.26288260287
116039,499067.89381810836
151166,597480.0504290205
40210,361694.90233429754
98367,459393.88011793606
160925,613766.1610739934
104371,584705.8128032652
78415,641476.4917900986
83660,580364.3085456626
121434,528700.6280862885
78336,598907.8015023977
52510,386950.31278781267
64261,520496.6134091229
97749,549013.9264381593
172084,622545.2849850771
52569,361414.46181318676
57400,539191.2833574247
169875,658793.973049317
58398,478722.2300707665
183622,680838.9755750494
48753,585933.5320921815
130190,642868.4949257895
108466,470399.3457802064
157786,595965.9404005497
95190,487223.50306497235
87452,512831.63171639945
142203,637537.6935042925
130773,605261.3090645741
168853,567851.9380119932
64684,415936.8443583334
57446,398517.5537600252
153747,513100.43868123926
159666,573039.7244554674
71555,491984.86405633297
134319,781842.5812441474
93943,536148.6671890658
109872,678507.0817677919
177223,743838.4665633985
93784,664718.8116315547
6380,354790.9761135252
132297,501220.59793854505
125110,564827.1980682239
36843,324984.19474553317
121955,517779.32572955824
82973,615625.9115150734
103986,414005.45806637313
97824,453940.2249404141
64151,550694.0909664603
165946,572194.5133759165
159307,523498.5326466188
131434,506663.15336587327
8556,566583.8531483263
37868,374315.2401728919
14032,355540.4455864588
21341,392299.6089209104
135288,587160.9929097705
50116,273080.95226497715
97940,525140.5588080762
162134,569213.2503211563
166998,559500.5673406767
137392,576121.1633111141
1460,336390.44046872994
171905,653734.7237423984
175067,666863.7993429266
172514,656378.9927834678
17738,369517.3803525618
67047,437467.29394477885
124014,564829.9437909634
185762,639067.9797988255
1311,322346.53060937906
119140,591681.4456748064
142546,640959.3903218885
114400,446562.26534228725
22406,537729.6461450108
92766,624005.4695008299
60485,499687.5983173349
91648,571027.3167110858
132526,791872.1438861378
25180,473404.2725982694
48904,312021.90087036043
146550,590826.8978691087
19407,567684.578812975
47699,334077.4295846899
2620,328771.5344922058
174106,647586.0928888447
112846,560796.1921861279
83926,516825.9143959428
64285,445815.35565789137
5733,338238.0777646522
87638,591337.8390466352
53604,363902.3772403556
53244,423992.4519050219
82872,419544.8662951789
66096,580080.0515426802
173642,518396.6302540158
145405,560279.6623178152
90156,586190.9683048455
180075,709240.1433622977
5153,420949.1449099346
134959,582660.4308349867
64342,452812.68723002775
51154,453193.064396685
40845,346276.6807798594
170881,758714.8811191111
106257,800129.8231018619
114464,367121.58050625864
97370,500016.61043968564
172227,603809.807469897
151941,610694.9735523011
107035,541436.7673399053
135274,475450.83651229227
169795,653374.6083009229
83718,510997.2862221515
42632,302945.3159743175
68198,405127.7400717754
112707,511834.48601153214
36740,447611.08186473045
42954,410040.19957482815
5921,390535.3823588304
40850,319491.1835799068
44668,396684.58496874943
21263,355248.59377579764
162241,638186.162113335
81902,492637.5847000256
169151,672537.5254331152
154334,587694.1622607214
59218,432201.0440607257
37714,407099.6614198312
106222,614081.647641581
139069,543842.4491432672
4425,503003.9718307969
140007,499400.35319302604
90024,477799.7951721819
153101,480978.35658050375
37538,370895.07158499816
32399,336462.3958648271
38946,420840.15038572205
151272,583112.9559117262
95430,652995.7267518654
101750,684485.265214737
16356,344850.9268955244
131496,614961.0287316917
167864,555780.0147773251
17832,424704.8146338328
106738,474516.5177659062
33431,327067.65875138156
164505,661385.8980275583
47565,482388.73458120925
99660,623653.1375607783
20200,365806.6345931594
28507,543922.2219655956
43495,507349.2829194637
23794,460918.8035054947
40297,392515.7113441867
53944,567274.5798240965
11040,725073.3350226516
106585,546199.6193773914
70050,705245.7661394319
75026,563435.6608738033
142562,622994.5139660556
113332,546000.2613034081
104548,694127.3138934122
159065,545658.7998675983
157589,550296.3847589549
26850,367770.1866030479
83917,426334.18596015405
124331,435044.35464716284
58018,307241.0290087336
163913,682483.8960583634
109105,438590.0710190111
97862,501465.5546112852
16478,340924.12941542594
35187,343275.93267659284
25446,437459.8375816471
47828,394805.98336259136
123220,586690.588879453
16366,373208.96806139406
144449,528360.8691650098
39920,326284.0744852489
160888,551026.5304457196
47978,351637.5354045569
14331,403118.40072581405
60334,356521.6349932407
49737,315869.45127407135
98533,403860.20914244
38375,337196.165144105
176978,766510.138671197
60474,553258.5998629597
163806,567140.4730614298
4654,487679.6223377427
130912,509521.2968736673
115098,558892.9238213543
56214,314973.1484917691
63720,347517.0850668615
143496,625969.6136452225
33941,378131.52849999024
66720,371938.4566789442
29518,280716.01667422196
68026,611870.9866027455
161546,527600.7659965246
118804,430875.9020629036
126852,577617.6362425857
102392,495413.09946604026
49738,290711.7576086526
49424,463578.292761927
18184,400050.8393981075
5408,475309.3672502646
157571,531003.4715796714
111705,617772.2318417686
179891,709559.6390493778
76587,403114.5965172164
2629,357708.9236543458
119008,455823.36529665766
128414,381930.2877377174
162481,529923.714376274
39075,409862.4279750064
113444,631367.5005209344
58984,408031.2449981398
134087,519917.1268333378
27723,320548.08856722154
61426,780919.2485133852
26496,339818.88145377534
8183,462530.9656530726
96508,449789.27975196345
56072,447365.322800593
77192,538074.8082162449
84054,583260.1271716375
55624,436330.23946820525
163711,533656.0162826679
29219,500538.32132191723
81813,530715.6216008291
181000,726993.2539859661
143894,557980.551421524
141800,563519.015676517
30009,387154.6194826206
45917,350839.1585856844
14425,410515.1343201604
23268,323291.68402204337
1284,223895.50166805694
69986,773877.7519653193
134779,525023.855727504
78114,502516.2828690796
128833,532732.8774865312
129335,581348.568092139
56632,456509.0711458628
46967,359353.9914323995
146611,437368.69166093785
37748,343496.01100962237
156600,522924.3220934551
105167,428853.75650518993
35572,366718.65940425405
154900,650426.1883500605
68778,492848.87517711706
40761,689947.3397332993
76922,521016.15168737434
57737,310893.9971925621
63946,561910.4117354462
111235,494774.280300878
114882,647647.0512379608
12676,250103.5510221487
138376,501061.6281141611
90637,455908.64108163584
